"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=160",273.627043091986,288.28745502754,273.645283405663,302.966107276772,291.764168323429,339.934093254537,2,2
"iRep=161",271.073471306772,285.733883242327,281.392592862269,310.713416733378,291.097915912542,339.26784084365,2,2
"iRep=162",266.199568342246,280.8599802778,276.210135424189,305.530959295299,279.85856930521,328.028494236318,2,2
"iRep=163",274.48018596776,289.140597903314,286.618700293698,315.939524164807,292.864193927169,341.034118858277,2,2
"iRep=164",258.216155496905,272.87656743246,262.612588259713,291.933412130823,269.279188067996,317.449112999104,2,2
"iRep=165",281.189018938792,295.849430874347,277.081407528343,306.402231399453,287.337330996638,335.507255927746,3,2
"iRep=166",263.353796276808,278.014208212363,273.844891866138,303.165715737248,280.34992328185,328.519848212958,2,2
"iRep=167",261.514438249163,276.174850184718,263.305615801897,292.626439673006,272.425342348217,320.595267279325,2,2
"iRep=168",274.756593248441,289.417005183996,278.736520407307,308.057344278416,282.414791104042,330.584716035151,2,2
"iRep=169",258.982701098483,273.643113034038,263.268229608139,292.589053479248,274.903223317081,323.07314824819,2,2
"iRep=170",261.99127080495,276.651682740505,267.090098819091,296.4109226902,273.33913422005,321.509059151158,2,2
"iRep=171",259.408273584981,274.068685520535,255.669192989757,284.990016860867,257.189929616637,305.359854547745,3,2
"iRep=172",265.593784904097,280.254196839651,262.286035581281,291.60685945239,269.364227230388,317.534152161497,3,2
"iRep=173",261.516995381941,276.177407317495,270.058957864767,299.379781735877,278.293584847807,326.463509778915,2,2
"iRep=174",261.158851253678,275.819263189232,269.722462591982,299.043286463091,268.90854476351,317.078469694618,2,2
"iRep=175",253.75328075653,268.413692692085,260.926429043505,290.247252914615,259.975966626492,308.1458915576,2,2
"iRep=176",274.851833899457,289.512245835012,283.921822724121,313.24264659523,279.764904083473,327.934829014582,2,2
"iRep=177",268.406039740264,283.066451675818,270.87512236958,300.195946240689,280.464266014209,328.634190945318,2,2
"iRep=178",263.297581762142,277.957993697696,269.532486298095,298.853310169204,274.490224702803,322.660149633912,2,2
"iRep=179",268.996919670097,283.657331605651,278.462068899233,307.782892770342,282.072382918917,330.242307850026,2,2
"iRep=180",256.735923784114,271.396335719669,263.80874422112,293.129568092229,274.727868959172,322.897793890281,2,2
"iRep=181",280.108326714286,294.768738649841,286.503350906468,315.824174777578,297.991112394619,346.161037325727,2,2
"iRep=182",269.288552020536,283.948963956091,280.565370004172,309.886193875281,275.394016948451,323.56394187956,2,2
"iRep=183",265.01203665336,279.672448588914,270.1633350528,299.484158923909,277.107139874865,325.277064805973,2,2
"iRep=184",263.252133765974,277.912545701529,274.256958777393,303.577782648502,280.491491590113,328.661416521221,2,2
"iRep=185",265.236956053945,279.8973679895,271.531309949171,300.85213382028,280.916316171749,329.086241102858,2,2
"iRep=186",253.729057150482,268.389469086037,249.636143094342,278.956966965451,261.774931967867,309.944856898976,3,2
"iRep=187",239.89824968685,254.558661622405,251.179085459676,280.499909330786,264.972325338644,313.142250269752,2,2
"iRep=188",271.257669376071,285.918081311626,281.196727052765,310.517550923874,277.659987486754,325.829912417863,2,2
"iRep=189",262.932627212303,277.593039147857,269.080519699693,298.401343570802,275.309652279879,323.479577210988,2,2
"iRep=190",269.264464863399,283.924876798954,275.618343489166,304.939167360276,281.864013873064,330.033938804173,2,2
"iRep=191",275.24112443287,289.901536368424,280.811186298572,310.132010169681,284.453046032427,332.622970963536,2,2
"iRep=192",266.513760861248,281.174172796803,271.983512494883,301.304336365993,284.675310021041,332.84523495215,2,2
"iRep=193",270.457479513298,285.117891448853,278.277646455182,307.598470326292,286.409623636816,334.579548567924,2,2
"iRep=194",283.53109622104,298.191508156595,291.164621782798,320.485445653908,299.844198530228,348.014123461336,2,2
"iRep=195",270.153781912963,284.814193848518,275.432559430292,304.753383301402,281.598309880083,329.768234811191,2,2
"iRep=196",272.978480011225,287.63889194678,271.904579107866,301.225402978976,282.129607757908,330.299532689016,3,2
"iRep=197",244.302597261467,258.963009197021,251.041116130966,280.361940002075,255.085423872788,303.255348803896,2,2
"iRep=198",265.162139884281,279.822551819836,271.892161652156,301.212985523265,285.088329236982,333.25825416809,2,2
"iRep=199",266.080372347938,280.740784283492,274.83589940019,304.156723271299,280.556743392525,328.726668323633,2,2
"iRep=200",261.239554634944,275.899966570499,266.704968159,296.02579203011,271.802986039252,319.972910970361,2,2
"iRep=201",258.611590783667,273.272002719221,262.793547874722,292.114371745831,271.819701366677,319.989626297785,2,2
"iRep=202",259.609929870668,274.270341806223,264.132782429715,293.453606300825,277.538721967776,325.708646898884,2,2
"iRep=203",271.840433187709,286.500845123264,273.923894218059,303.244718089169,275.009184251918,323.179109183027,2,2
"iRep=204",249.718756962425,264.37916889798,251.548082485125,280.868906356234,249.329852383729,297.499777314837,4,2
"iRep=205",265.614242997535,280.274654933089,271.084052665818,300.404876536928,279.915123425448,328.085048356556,2,2
"iRep=206",278.038873509982,292.699285445537,285.957993878035,315.278817749144,293.001895658088,341.171820589197,2,2
"iRep=207",251.009319573778,265.669731509333,259.585204436391,288.9060283075,255.541493430773,303.711418361881,2,2
"iRep=208",272.265101381078,286.925513316633,278.147820732754,307.468644603864,282.340522955488,330.510447886596,2,2
"iRep=209",261.6216197721,276.282031707655,266.697286474984,296.018110346093,269.129834115675,317.299759046783,2,2
"iRep=210",277.36814667324,292.028558608795,280.21377584149,309.534599712599,283.934550141511,332.104475072619,2,2
