"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=272",256.924863588098,271.585275523653,259.975412374292,289.296236245401,265.487269838448,313.657194769556,2,2
"iRep=273",271.246246029866,285.906657965421,271.753218001137,301.074041872246,282.219591100157,330.389516031266,2,2
"iRep=274",253.704988860229,268.365400795784,268.859593036177,298.180416907287,267.389084241196,315.559009172304,2,2
"iRep=275",259.505632095926,274.166044031481,267.144307528696,296.465131399806,269.639037292444,317.808962223552,2,2
"iRep=276",278.311862275097,292.972274210652,284.805817800451,314.126641671561,292.004854185871,340.174779116979,2,2
"iRep=277",261.435501377388,276.095913312943,272.012059632473,301.332883503583,271.99409622302,320.164021154128,2,2
"iRep=278",268.975163696853,283.635575632407,274.090218364214,303.411042235324,284.321378465065,332.491303396173,2,2
"iRep=279",261.192235874046,275.8526478096,264.230138365205,293.550962236315,275.686614697766,323.856539628874,2,2
"iRep=280",267.104992151151,281.765404086706,280.763180672516,310.084004543626,288.467952068889,336.637876999998,2,2
"iRep=281",278.588096863117,293.248508798671,283.947306376076,313.268130247186,295.644471275719,343.814396206827,2,2
"iRep=282",270.123728729207,284.784140664762,276.515467625764,305.836291496874,284.715771211796,332.885696142904,2,2
"iRep=283",264.717425503785,279.377837439339,272.426494190443,301.747318061552,281.788816032075,329.958740963184,2,2
"iRep=284",268.007927684852,282.668339620407,267.046013172479,296.366837043589,281.891731351523,330.061656282631,3,2
"iRep=285",261.664888827607,276.325300763162,268.166999510563,297.487823381673,273.560980913254,321.730905844362,2,2
"iRep=286",279.324317495838,293.984729431393,290.11916387609,319.439987747199,299.598640601637,347.768565532745,2,2
"iRep=287",275.247571418072,289.907983353627,282.613556279377,311.934380150486,291.969939028705,340.139863959813,2,2
"iRep=288",278.071471491865,292.73188342742,279.420471893307,308.741295764416,286.255288775027,334.425213706135,2,2
"iRep=289",273.05731168607,287.717723621625,277.929568714779,307.250392585888,285.658760357581,333.82868528869,2,2
"iRep=290",273.845389725034,288.505801660589,280.245542255076,309.566366126186,287.41600234404,335.585927275148,2,2
"iRep=291",292.637041453221,307.297453388776,285.082216944193,314.403040815302,298.089749026649,346.259673957757,3,2
"iRep=292",261.424541057443,276.084952992998,268.263075949367,297.583899820476,276.352188511141,324.522113442249,2,2
"iRep=293",283.644461289354,298.304873224909,290.083473581215,319.404297452324,301.557426305677,349.727351236785,2,2
"iRep=294",276.587796843186,291.248208778741,280.382550288726,309.703374159836,288.912433736713,337.082358667821,2,2
"iRep=295",271.665128030837,286.325539966392,274.704559409713,304.025383280822,283.522964834915,331.692889766023,2,2
"iRep=296",278.358702443228,293.019114378783,282.974418815291,312.2952426864,295.881053243755,344.050978174863,2,2
"iRep=297",249.297046306483,263.957458242038,250.921183111458,280.242006982567,249.831387260614,298.001312191722,2,2
"iRep=298",281.072574741275,295.73298667683,290.712255870974,320.033079742083,295.49209363116,343.662018562268,2,2
"iRep=299",255.061959584518,269.722371520073,266.016859071913,295.337682943022,274.675340378778,322.845265309886,2,2
"iRep=300",260.572141830202,275.232553765757,266.884094442959,296.204918314068,274.724793355317,322.894718286425,2,2
"iRep=301",258.973077247556,273.63348918311,267.316283379867,296.637107250976,279.708670103924,327.878595035032,2,2
"iRep=302",264.071899562931,278.732311498485,272.155529612342,301.476353483451,278.864071383852,327.033996314961,2,2
"iRep=303",260.315112732868,274.975524668423,268.128231763572,297.449055634681,268.078917334951,316.248842266059,2,2
