"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=705",214.716403456298,225.188126267409,225.793856065353,248.831646249796,238.884764399294,278.677311081514,2,2
"iRep=706",231.823456522109,242.295179333219,240.352197753116,263.389987937559,253.494830457576,293.287377139796,2,2
"iRep=707",213.892214798143,224.363937609254,219.986861359784,243.024651544227,232.918788655484,272.711335337704,2,2
"iRep=708",204.504482355326,214.976205166437,215.15496288239,238.192753066833,231.004129146376,270.796675828596,2,2
"iRep=709",209.320497389969,219.792220201079,218.454016770856,241.491806955299,235.697197503532,275.489744185752,2,2
"iRep=710",218.09187663427,228.563599445381,226.160060951737,249.197851136181,236.698337129665,276.490883811885,2,2
"iRep=711",210.39868564581,220.870408456921,220.798833861149,243.836624045592,232.802282185266,272.594828867486,2,2
"iRep=712",210.733465034601,221.205187845711,219.352586511058,242.390376695501,232.564162237626,272.356708919846,2,2
"iRep=713",235.176031701226,245.647754512337,242.617395211604,265.655185396047,256.622069899845,296.414616582065,2,2
"iRep=714",239.811202776987,250.282925588097,251.933213362348,274.971003546791,263.895234945501,303.68778162772,2,2
"iRep=715",224.903971918278,235.375694729388,231.919735804754,254.957525989197,239.456852254851,279.249398937071,2,2
"iRep=716",233.933906083711,244.405628894822,244.632042532812,267.669832717255,257.492301829617,297.284848511837,2,2
"iRep=717",217.636257376245,228.107980187356,225.717670300231,248.755460484674,235.857768899715,275.650315581935,2,2
"iRep=718",219.419586864631,229.891309675742,230.657619949629,253.695410134072,244.485646630393,284.278193312613,2,2
"iRep=719",222.626128074032,233.097850885143,232.49346568756,255.531255872003,246.438426849747,286.230973531967,2,2
"iRep=720",218.943629233812,229.415352044923,224.88335443927,247.921144623714,236.51951271557,276.31205939779,2,2
"iRep=721",200.139602045983,210.611324857094,212.104088083351,235.141878267794,228.116138305367,267.908684987587,2,2
"iRep=722",220.714534076746,231.186256887856,222.562595892766,245.600386077209,237.581236098338,277.373782780558,2,2
"iRep=723",243.457119601931,253.928842413041,252.387891706218,275.425681890662,260.49572813713,300.28827481935,2,2
